TIME	EVENT	NODES
297.76726647281987	O	n183
315.2919129452102	T	n183;1;n183;2;n237;3
326.47955268794135	D	n237;3;n237;4;n237;5
326.59346466681257	C	n237;4
326.59346466681257	C	n237;5
337.23576958321206	I	n237;4
337.23576958321206	I	n237;5
339.96246034945096	S	n237;5;n273;6;n274;7
339.96246034945096	S	n237;4;n273;8;n274;9
343.88787744025166	I	n273;6
343.88787744025166	I	n273;8
349.00530575206363	E	n183;2
355.7899662740194	E	n274;7
355.7899662740194	E	n274;9
365.43190125744275	S	n273;8;n325;10;n326;11
365.43190125744275	S	n273;6;n325;12;n326;13
368.33285918754166	F	n325;10
368.33285918754166	F	n325;12
368.33285918754166	F	n326;11
368.33285918754166	F	n326;13
