TIME	EVENT	NODES
176.67976918045258	O	n55
192.61246921994277	T	n55;1;n55;2;n63;3
209.3577660631694	I	n55;2
217.10122037003637	S	n63;3;n87;4;n88;5
224.42074098395472	S	n87;4;n93;6;n94;7
232.2598634713699	E	n94;7
232.8439288366906	E	n88;5
238.066136604651	E	n55;2
263.1946935408616	S	n93;6;n157;8;n158;9
271.0359830191678	S	n158;9;n165;10;n166;11
281.86281336619095	S	n157;8;n181;12;n182;13
282.785852448243	I	n165;10
297.3759122122873	E	n182;13
298.649488961759	D	n166;11;n166;14;n166;15
300.66408360617874	S	n165;10;n217;16;n218;17
301.39480262224913	S	n217;16;n219;18;n220;19
308.73333444367574	I	n220;19
309.22719658015154	E	n220;19
322.23550031039156	S	n219;18;n243;20;n244;21
325.62016585225894	E	n166;14
325.62016585225894	E	n166;15
325.8136098520584	C	n218;17
326.9191915703628	E	n181;12
327.1046107185982	E	n218;17
336.27194991669535	S	n243;20;n265;22;n266;23
337.9466629699342	E	n266;23
346.37498290188773	I	n244;21
354.69809089053405	L	n265;22
368.33285918754166	F	n244;21
