TIME	EVENT	NODES
0	O	Root
0.0	S	Root;1;n1;2;n2;3
3.2265121368497676	S	n2;3;n3;4;n4;5
6.0891450189117755	S	n4;5;n5;6;n6;7
11.038512576167811	I	n6;7
12.049627919615546	E	n1;2
29.937005007446096	I	n3;4
30.337553612540763	S	n3;4;n7;8;n8;9
36.26534312863141	L	n8;9
41.7308661144652	E	n6;7
50.32800858222378	I	n5;6
54.38181323423389	L	n7;8
54.38181323423389	T	n5;6;n5;10;n7;11
65.79458869924449	S	n5;10;n11;12;n12;13
68.87008076596177	I	n12;13
70.6855552878254	I	n7;11
78.67196232775571	E	n11;12
78.78933843814929	I	n12;13
79.42148091050161	C	n7;11
80.59920766624008	E	n12;13
123.97252951175011	I	n7;11
152.63308264867726	S	n7;11;n33;14;n34;15
160.5632591113535	I	n34;15
162.77617771303431	S	n34;15;n37;16;n38;17
164.0650225736182	E	n38;17
165.0166670311326	I	n37;16
165.2249719103747	E	n33;14
187.1981154176181	S	n37;16;n59;18;n60;19
197.574740969038	S	n60;19;n71;20;n72;21
224.87883338170167	E	n71;20
247.9017369521402	I	n59;18
251.91737397158224	S	n59;18;n131;22;n132;23
252.51472126357524	I	n132;23
254.31869674795763	S	n72;21;n137;24;n138;25
262.48313050699846	S	n137;24;n155;26;n156;27
264.256074713361	S	n131;22;n159;28;n160;29
265.1405551331057	I	n132;23
268.08312347105647	S	n138;25;n163;30;n164;31
272.22950821935103	I	n163;30
272.7447138019865	I	n156;27
276.67741255602084	I	n163;30
277.8106349986983	E	n163;30
279.3689247604448	E	n164;31
280.9346084359787	E	n156;27
282.028942702988	C	n155;26
283.003644560383	E	n160;29
288.5496408940298	S	n132;23;n189;32;n190;33
297.2325938618031	S	n190;33;n211;34;n212;35
302.77518792485097	S	n155;26;n221;36;n222;37
306.13587000809775	L	n221;36
306.18779637717876	E	n189;32
312.1567628815537	I	n212;35
313.09632380204846	I	n211;34
314.3193370741534	E	n222;37
316.82688253247335	I	n159;28
318.9879091554581	L	n211;34
320.95715525056033	I	n159;28
328.2146319613769	S	n159;28;n253;38;n254;39
335.92113620132585	S	n254;39;n263;40;n264;41
339.658731161582	S	n264;41;n271;42;n272;43
345.71198993976384	E	n253;38
354.8998542404899	L	n263;40
361.7971077523211	S	n272;43;n309;44;n310;45
364.14479088522387	E	n212;35
364.39265661618424	S	n310;45;n317;46;n318;47
365.9406802548836	S	n318;47;n329;48;n330;49
368.33285918754166	F	n330;49
368.33285918754166	F	n329;48
368.33285918754166	F	n271;42
368.33285918754166	F	n317;46
368.33285918754166	F	n309;44
