TIME	EVENT	NODES
0	O	Root
0.0	S	Root;1;n1;2;n2;3
3.2265121368497676	S	n2;3;n3;4;n4;5
6.0891450189117755	S	n4;5;n5;6;n6;7
11.503532935685811	I	n1;2
12.049627919615546	E	n1;2
17.40463968933811	I	n5;6
18.66040533688306	I	n3;4
28.45155491616569	C	n3;4
29.937005007446096	I	n3;4
30.337553612540763	S	n3;4;n7;8;n8;9
32.38717680350577	I	n8;9
33.01837389465897	I	n5;6
41.7308661144652	E	n6;7
46.478728420132114	S	n8;9;n9;10;n10;11
46.755777076983165	L	n10;11
47.22989529425473	T	n9;10;n9;12;n10;13
47.465028083428344	C	n7;8
65.79458869924449	S	n5;6;n11;14;n12;15
70.6855552878254	I	n7;8
74.7978525524756	I	n10;13
76.76691217715612	I	n11;14
76.83040379162496	S	n10;13;n13;16;n14;17
77.09812996482208	I	n14;17
77.13666020197577	I	n14;17
78.67196232775571	E	n11;14
80.59920766624008	E	n12;15
80.65664055191147	S	n14;17;n15;18;n16;19
90.03849608767848	E	n15;18
90.74528338734476	E	n16;19
91.76298271049063	I	n9;12
96.03765556043416	I	n9;12
97.8362132353275	I	n9;12
100.0082568610545	S	n13;16;n17;20;n18;21
102.88084729327288	S	n9;12;n19;22;n20;23
107.32278215504778	I	n18;21
111.66586617081315	S	n18;21;n21;24;n22;25
113.00936871236135	I	n20;23
113.56224229045142	I	n7;8
114.85035308426085	I	n21;24
115.08990474168303	D	n7;8;n7;26;n7;27
117.07791909023472	L	n20;23
117.07791909023472	T	n7;27;n7;28;n20;29
118.53073515356303	L	n19;22
118.53073515356303	T	n17;20;n17;30;n19;31
119.79022447427091	C	n22;25
127.09439606284033	S	n17;30;n23;32;n24;33
131.05163357451565	E	n21;24
132.0947382687963	D	n7;26;n7;34;n7;35
137.33366044182898	S	n22;25;n25;36;n26;37
142.7155834077547	E	n25;36
143.54197741139245	I	n7;34
143.54197741139245	I	n7;35
143.54197741139245	I	n7;28
146.96549959937494	C	n20;29
148.9849759202454	S	n20;29;n27;38;n28;39
149.3238145096331	S	n26;37;n29;40;n30;41
150.84222171296392	E	n30;41
151.41608628417967	S	n24;33;n31;42;n32;43
152.63308264867726	S	n7;28;n33;44;n34;45
152.63308264867726	S	n7;35;n33;46;n34;47
152.63308264867726	S	n7;34;n33;48;n34;49
153.15396712937255	S	n28;39;n35;50;n36;51
156.51105878063444	I	n32;43
158.99850215090086	I	n32;43
160.06005941962147	I	n23;32
160.7589202325163	I	n19;31
162.77617771303431	S	n34;45;n37;52;n38;53
162.77617771303431	S	n34;47;n37;54;n38;55
162.77617771303431	S	n34;49;n37;56;n38;57
164.0650225736182	E	n38;53
164.0650225736182	E	n38;55
164.0650225736182	E	n38;57
165.1799971652594	S	n31;42;n39;58;n40;59
165.2249719103747	E	n33;44
165.2249719103747	E	n33;46
165.2249719103747	E	n33;48
165.26262186305448	I	n37;52
165.26262186305448	I	n37;54
165.26262186305448	I	n37;56
165.34116638582762	I	n32;43
166.42281919880233	S	n40;59;n41;60;n42;61
166.54278869017284	E	n27;38
168.16563053296093	I	n23;32
168.98360319176706	S	n36;51;n43;62;n44;63
169.09281682708968	E	n41;60
169.40844172015872	E	n39;58
170.2395216919631	C	n35;50
170.74431018111153	S	n43;62;n45;64;n46;65
171.2809686135886	S	n19;31;n47;66;n48;67
171.45748821204532	S	n23;32;n49;68;n50;69
172.7134354678535	S	n35;50;n51;70;n52;71
173.3420775141136	S	n42;61;n53;72;n54;73
173.88687652149895	E	n54;73
174.80824439484172	I	n49;68
176.11005676811268	S	n49;68;n55;74;n56;75
177.12007651643094	I	n46;65
177.51846234063663	E	n45;64
178.69113951259905	L	n29;40
178.9117983077116	I	n47;66
180.68423174771254	E	n50;69
184.38473418243225	S	n51;70;n57;76;n58;77
185.18837631708382	I	n46;65
187.1981154176181	S	n37;56;n59;78;n60;79
187.1981154176181	S	n37;54;n59;80;n60;81
187.1981154176181	S	n37;52;n59;82;n60;83
187.68489901940544	E	n46;65
188.12160159703967	I	n48;67
188.99377288291518	S	n56;75;n61;84;n62;85
189.4429084824666	S	n44;63;n63;86;n64;87
190.00969741811858	L	n59;78
190.25359538134924	C	n64;87
190.38306257021563	C	n32;43
191.03496434186974	I	n63;86
191.35598736312272	S	n62;85;n65;88;n66;89
192.36123745765158	L	n60;83
193.54890914381417	S	n32;43;n67;90;n68;91
194.56659431149998	I	n68;91
195.75451159540208	I	n63;86
195.81562732113593	E	n58;77
196.74632570764513	E	n66;89
196.97511416203977	S	n47;66;n69;92;n70;93
197.1409582825003	C	n53;72
197.574740969038	S	n60;79;n71;94;n72;95
197.574740969038	S	n60;81;n71;96;n72;97
198.00482758034067	I	n55;74
199.3404950915714	E	n57;76
202.83321865476069	I	n52;71
202.8590861624745	D	n72;97;n72;98;n72;99
205.25455400940166	S	n69;92;n73;100;n74;101
207.8421577969307	C	n48;67
208.10400822300682	S	n67;90;n75;102;n76;103
208.19839410567633	S	n74;101;n77;104;n78;105
210.83162182464008	C	n61;84
211.09451048447679	L	n78;105
211.6666750898376	S	n76;103;n79;106;n80;107
212.0814811151844	S	n73;100;n81;108;n82;109
212.14935991177535	E	n65;88
213.2083255747118	I	n52;71
213.32577331513028	S	n79;106;n83;110;n84;111
214.0735870818539	I	n72;95
214.0735870818539	I	n72;98
214.0735870818539	I	n72;99
215.19426714998926	S	n82;109;n85;112;n86;113
216.27781290793985	E	n83;110
217.10122037003637	S	n63;86;n87;114;n88;115
217.52183169942688	I	n68;91
218.72014222835378	I	n87;114
218.98071261797426	I	n84;111
220.30628933985648	I	n81;108
221.4844260935815	S	n61;84;n89;116;n90;117
224.01115539674345	E	n81;108
224.27066542523366	I	n86;113
224.42074098395472	S	n87;114;n93;118;n94;119
224.87883338170167	E	n71;94
224.87883338170167	E	n71;96
226.08451416191318	E	n77;104
226.86452868796613	S	n53;72;n95;120;n96;121
227.7086322008703	S	n52;71;n97;122;n98;123
227.74447505539555	S	n68;91;n99;124;n100;125
227.79180205667913	E	n99;124
228.05498160168688	I	n59;82
228.26348806558173	I	n48;67
229.18041800742589	L	n93;118
229.79413206743286	S	n85;112;n101;126;n102;127
229.84074322147535	S	n75;102;n103;128;n104;129
230.22500167846212	E	n101;126
231.2895298785254	E	n89;116
232.2598634713699	E	n94;119
232.8439288366906	E	n88;115
233.55443944646427	S	n96;121;n105;130;n106;131
234.52646116535334	L	n100;125
234.52646116535334	T	n105;130;n105;132;n100;133
236.8169657606345	S	n84;111;n107;134;n108;135
238.066136604651	E	n55;74
238.8103188187437	L	n48;67
239.01003706129444	S	n80;107;n109;136;n110;137
240.4400248471713	S	n104;129;n111;138;n112;139
240.5871777567845	I	n107;134
240.6015620950032	S	n100;133;n113;140;n114;141
241.22156853784136	L	n90;117
241.22156853784136	T	n108;135;n108;142;n90;143
241.69420161650754	I	n114;141
242.8941750001684	S	n103;128;n115;144;n116;145
243.17160017770044	C	n72;99
244.14728133255718	I	n95;120
244.39287403547863	I	n108;142
244.46556635059028	I	n106;131
244.65686309263035	S	n115;144;n117;146;n118;147
244.71073753788679	I	n109;136
245.0945059839935	I	n59;82
245.60380920404123	E	n118;147
245.85340359938476	E	n86;113
246.41896245296667	S	n116;145;n119;148;n120;149
247.89276809742267	S	n106;131;n121;150;n122;151
248.88117897606477	E	n64;87
248.94956779508917	I	n98;123
249.03530572249304	S	n97;122;n123;152;n124;153
