TIME	EVENT	NODES
332.9316331338899	O	n251
334.9897297167016	S	n251;1;n257;2;n258;3
344.02040770953147	S	n258;3;n283;4;n284;5
346.5990500281604	S	n283;4;n287;6;n288;7
348.5957409293679	I	n288;7
353.2274467652559	S	n284;5;n297;8;n298;9
356.64877284788156	I	n297;8
361.2861430572432	T	n287;6;n287;10;n230;11
361.36473925610744	I	n297;8
361.9305758729843	I	n288;7
368.33285918754166	F	n230;11
368.33285918754166	F	n287;10
368.33285918754166	F	n257;2
368.33285918754166	F	n288;7
368.33285918754166	F	n297;8
368.33285918754166	F	n298;9
