TIME	EVENT	NODES
257.001091134442	O	n146
275.0960935428681	S	n146;1;n169;2;n170;3
276.778106847264	S	n169;2;n177;4;n178;5
289.7660671719976	S	n177;4;n191;6;n192;7
292.56408620681617	S	n191;6;n197;8;n198;9
295.7101501024865	E	n178;5
297.88510067996623	E	n197;8
309.21205838172443	S	n198;9;n231;10;n232;11
313.1832323332522	I	n170;3
316.27600896896894	E	n192;7
317.30612004847615	S	n232;11;n239;12;n240;13
318.08706091727777	L	n231;10
319.3566416079431	I	n240;13
348.6720819320871	E	n240;13
351.74163032602377	L	n170;3
365.6675909654996	S	n239;12;n327;14;n328;15
368.33285918754166	F	n327;14
368.33285918754166	F	n328;15
