TIME	EVENT	NODES
124.84804341733157	O	n192
126.02067546969158	I	n192;1
126.02587607460606	S	n192;1;n207;2;n208;3
128.0705698243647	S	n207;2;n213;4;n214;5
128.7825221816461	I	n208;3
130.09222203709768	S	n213;4;n223;6;n224;7
130.3478450618157	S	n224;7;n225;8;n226;9
130.61270764671045	I	n208;3
130.6432955054352	I	n226;9
132.25890650819693	E	n223;6
133.68463181083166	S	n225;8;n245;10;n246;11
133.9195906530183	E	n214;5
134.01809809279308	E	n226;9
135.26511937963505	E	n245;10
137.44428209975396	F	n208;3
137.44428209975396	F	n246;11
