TIME	EVENT	NODES
134.00833395754498	O	n7
148.1565667610669	I	n7;1
152.63308264867726	S	n7;1;n33;2;n34;3
162.77617771303431	S	n34;3;n37;4;n38;5
163.89521045951892	I	n38;5
164.0650225736182	E	n38;5
164.16217443280848	T	n37;4;n37;6;n27;7
165.2249719103747	E	n33;2
166.54278869017284	E	n27;7
187.1981154176181	S	n37;6;n59;8;n60;9
197.574740969038	S	n60;9;n71;10;n72;11
214.84449347792088	I	n59;8
224.87883338170167	E	n71;10
251.91737397158224	S	n59;8;n131;12;n132;13
254.31869674795763	S	n72;11;n137;14;n138;15
261.9838431381155	I	n138;15
262.48313050699846	S	n137;14;n155;16;n156;17
264.256074713361	S	n131;12;n159;18;n160;19
268.08312347105647	S	n138;15;n163;20;n164;21
277.0983925029239	C	n132;13
277.8106349986983	E	n163;20
279.3689247604448	E	n164;21
280.9346084359787	E	n156;17
283.003644560383	E	n160;19
288.5496408940298	S	n132;13;n189;22;n190;23
297.2325938618031	S	n190;23;n211;24;n212;25
302.77518792485097	S	n155;16;n221;26;n222;27
303.53877460970455	I	n221;26
306.18779637717876	E	n189;22
314.3193370741534	E	n222;27
319.1662244603013	I	n159;18
323.451126983794	S	n211;24;n247;28;n248;29
326.9299560409181	S	n248;29;n249;30;n250;31
328.2146319613769	S	n159;18;n253;32;n254;33
333.2243139310976	I	n221;26
334.64198406508626	S	n249;30;n255;34;n256;35
335.6869251796117	D	n247;28;n247;36;n247;37
335.92113620132585	S	n254;33;n263;38;n264;39
338.51097831531484	S	n247;36;n269;40;n270;41
338.51097831531484	S	n247;37;n269;42;n270;43
339.658731161582	S	n264;39;n271;44;n272;45
341.7318365525803	I	n271;44
342.77841204364665	I	n270;41
342.77841204364665	I	n270;43
345.71198993976384	E	n253;32
351.21756444659286	I	n269;40
351.21756444659286	I	n269;42
351.3681074054671	E	n270;43
351.3681074054671	E	n270;41
351.37042779145395	E	n255;34
356.23950912266986	L	n263;38
356.5243775902817	S	n250;31;n303;46;n304;47
358.1702461307203	I	n256;35
359.43466135079467	S	n269;42;n307;48;n308;49
359.43466135079467	S	n269;40;n307;50;n308;51
361.7971077523211	S	n272;45;n309;52;n310;53
362.3168381761644	L	n256;35
362.3168381761644	T	n212;25;n212;54;n256;55
364.14479088522387	E	n212;54
364.39265661618424	S	n310;53;n317;56;n318;57
364.49514583717956	S	n304;47;n319;58;n320;59
365.0168302374957	S	n256;55;n323;60;n324;61
365.9406802548836	S	n318;57;n329;62;n330;63
367.6182129741708	I	n324;61
367.75320382799276	L	n324;61
368.33285918754166	F	n330;63
368.33285918754166	F	n307;48
368.33285918754166	F	n307;50
368.33285918754166	F	n329;62
368.33285918754166	F	n303;46
368.33285918754166	F	n271;44
368.33285918754166	F	n308;49
368.33285918754166	F	n308;51
368.33285918754166	F	n323;60
368.33285918754166	F	n320;59
368.33285918754166	F	n317;56
368.33285918754166	F	n221;26
368.33285918754166	F	n309;52
368.33285918754166	F	n319;58
