TIME	EVENT	NODES
23.363921492170505	O	n3
30.337553612540763	S	n3;1;n7;2;n8;3
46.478728420132114	S	n8;3;n9;4;n10;5
72.17555560004897	I	n9;4
76.83040379162496	S	n10;5;n13;6;n14;7
80.65664055191147	S	n14;7;n15;8;n16;9
90.03849608767848	E	n15;8
90.74528338734476	E	n16;9
100.0082568610545	S	n13;6;n17;10;n18;11
102.88084729327288	S	n9;4;n19;12;n20;13
103.69121261614497	I	n20;13
106.49364849808238	I	n18;11
111.04343967378443	I	n19;12
111.66586617081315	S	n18;11;n21;14;n22;15
120.22055380552203	I	n17;10
122.14330147290761	I	n17;10
127.09439606284033	S	n17;10;n23;16;n24;17
128.64821612554962	L	n20;13
128.64821612554962	T	n19;12;n19;18;n20;19
131.05163357451565	E	n21;14
137.33366044182898	S	n22;15;n25;20;n26;21
138.11734657381473	I	n23;16
139.26621070117426	I	n19;18
142.7155834077547	E	n25;20
144.42901776775057	I	n24;17
145.98692893692913	I	n7;2
148.9849759202454	S	n20;19;n27;22;n28;23
149.3238145096331	S	n26;21;n29;24;n30;25
150.84222171296392	E	n30;25
151.41608628417967	S	n24;17;n31;26;n32;27
152.63308264867726	S	n7;2;n33;28;n34;29
153.15396712937255	S	n28;23;n35;30;n36;31
155.84373206073107	I	n35;30
158.83323720120427	I	n35;30
158.96637644433548	I	n19;18
161.47807405675405	L	n27;22
162.77617771303431	S	n34;29;n37;32;n38;33
164.0650225736182	E	n38;33
164.73066813140116	C	n33;28
165.1799971652594	S	n31;26;n39;34;n40;35
165.2249719103747	E	n33;28
166.42281919880233	S	n40;35;n41;36;n42;37
168.98360319176706	S	n36;31;n43;38;n44;39
169.09281682708968	E	n41;36
169.40844172015872	E	n39;34
170.47855763321698	I	n42;37
170.74431018111153	S	n43;38;n45;40;n46;41
171.2809686135886	S	n19;18;n47;42;n48;43
171.45748821204532	S	n23;16;n49;44;n50;45
172.60168146347405	I	n42;37
172.7134354678535	S	n35;30;n51;46;n52;47
173.3420775141136	S	n42;37;n53;48;n54;49
173.88687652149895	E	n54;49
176.11005676811268	S	n49;44;n55;50;n56;51
177.51846234063663	E	n45;40
177.75842666575605	I	n56;51
180.68423174771254	E	n50;45
183.55439401043074	I	n48;43
184.38473418243225	S	n51;46;n57;52;n58;53
187.1981154176181	S	n37;32;n59;54;n60;55
187.68489901940544	E	n46;41
188.99377288291518	S	n56;51;n61;56;n62;57
189.30918561537212	I	n55;50
189.4429084824666	S	n44;39;n63;58;n64;59
191.35598736312272	S	n62;57;n65;60;n66;61
193.54890914381417	S	n32;27;n67;62;n68;63
194.16030782327186	I	n59;54
195.81562732113593	E	n58;53
196.6972512900898	I	n61;56
196.74632570764513	E	n66;61
196.97511416203977	S	n47;42;n69;64;n70;65
