TIME	EVENT	NODES
272.49189950903013	O	n132
288.5496408940298	S	n132;1;n189;2;n190;3
297.2325938618031	S	n190;3;n211;4;n212;5
306.18779637717876	E	n189;2
323.451126983794	S	n211;4;n247;6;n248;7
326.9299560409181	S	n248;7;n249;8;n250;9
334.64198406508626	S	n249;8;n255;10;n256;11
336.3759631587234	I	n250;9
338.22202979437844	I	n250;9
338.51097831531484	S	n247;6;n269;12;n270;13
346.79910606572184	T	n255;10;n255;14;n205;15
348.80694815438164	T	n255;14;n255;16;n260;17
351.3681074054671	E	n270;13
351.37042779145395	E	n255;16
351.80485694148257	C	n205;15
355.9750800100305	T	n205;15;n205;18;n279;19
356.3066588385502	I	n212;5
356.5243775902817	S	n250;9;n303;20;n304;21
359.43466135079467	S	n269;12;n307;22;n308;23
362.3993247982543	I	n256;11
362.93877184850265	E	n279;19
363.72092949357767	S	n205;18;n313;24;n314;25
364.14479088522387	E	n212;5
364.2938925195476	I	n260;17
364.49514583717956	S	n304;21;n319;26;n320;27
365.0168302374957	S	n256;11;n323;28;n324;29
365.3354294195512	E	n260;17
366.2668224197745	T	n307;22;n307;30;n290;31
366.5163472054392	I	n314;25
367.91236140623164	T	n290;31;n290;32;n315;33
368.1525611161385	S	n324;29;n331;34;n332;35
368.33285918754166	F	n307;30
368.33285918754166	F	n303;20
368.33285918754166	F	n308;23
368.33285918754166	F	n331;34
368.33285918754166	F	n323;28
368.33285918754166	F	n314;25
368.33285918754166	F	n320;27
368.33285918754166	F	n332;35
368.33285918754166	F	n319;26
368.33285918754166	F	n313;24
368.33285918754166	F	n290;32
368.33285918754166	F	n315;33
