TIME	EVENT	NODES
205.0355023909945	O	n72
235.6703106220646	I	n72;1
247.2875698036164	I	n72;1
254.31869674795763	S	n72;1;n137;2;n138;3
262.48313050699846	S	n137;2;n155;4;n156;5
267.5411905261281	D	n155;4;n155;6;n155;7
268.08312347105647	S	n138;3;n163;8;n164;9
277.8106349986983	E	n163;8
279.3689247604448	E	n164;9
280.9346084359787	E	n156;5
302.77518792485097	S	n155;6;n221;10;n222;11
302.77518792485097	S	n155;7;n221;12;n222;13
314.3193370741534	E	n222;11
314.3193370741534	E	n222;13
326.1990635960981	C	n221;10
326.1990635960981	C	n221;12
350.85463190186096	I	n221;10
350.85463190186096	I	n221;12
359.2204768522403	D	n221;10;n221;14;n221;15
368.33285918754166	F	n221;12
368.33285918754166	F	n221;14
368.33285918754166	F	n221;15
