TIME	EVENT	NODES
19.21129451190807	O	n7
22.836236421711362	S	n7;1;n15;2;n16;3
24.1167764653545	I	n15;2
25.371037825566667	I	n15;2
26.485787909544978	S	n16;3;n19;4;n20;5
32.38286256948116	E	n15;2
32.800131426310806	S	n20;5;n25;6;n26;7
33.41488849387419	S	n19;4;n27;8;n28;9
34.804549942871546	S	n27;8;n29;10;n30;11
36.881358768164496	E	n25;6
41.52321484299192	I	n30;11
42.943931074204656	E	n29;10
44.745973470032595	I	n30;11
44.85245251234952	S	n26;7;n41;12;n42;13
47.75483330782171	I	n30;11
48.78040786496041	L	n42;13
53.29780979945958	E	n28;9
55.73831808661641	S	n30;11;n57;14;n58;15
59.32090176661299	I	n58;15
59.65295875486497	E	n58;15
59.727227761872925	S	n41;12;n59;16;n60;17
59.96838226243248	S	n60;17;n61;18;n62;19
64.55696380973848	L	n61;18
66.16349590969867	S	n59;16;n65;20;n66;21
66.2736100429329	E	n57;14
69.97449520685201	I	n66;21
74.51654092945661	S	n62;19;n79;22;n80;23
77.10875772238327	E	n65;20
77.64119566010866	S	n79;22;n81;24;n82;25
77.70233488689108	L	n81;24
77.70233488689108	T	n66;21;n66;26;n81;27
77.81966193924744	E	n80;23
79.84261502436117	E	n81;27
85.35531950007136	S	n66;26;n89;28;n90;29
85.49236502381507	S	n89;28;n91;30;n92;31
90.49422440237502	S	n92;31;n99;32;n100;33
91.78715616938311	S	n82;25;n105;34;n106;35
93.37526834861075	E	n99;32
97.31886692307799	E	n91;30
97.80791700863223	S	n106;35;n115;36;n116;37
101.65830150095249	E	n100;33
101.86760839437709	S	n115;36;n121;38;n122;39
103.11281700770681	S	n122;39;n123;40;n124;41
103.17493587921933	S	n116;37;n125;42;n126;43
104.88109094108886	E	n123;40
106.87715287783836	C	n90;29
107.08266993684482	S	n125;42;n133;44;n134;45
107.61702482279416	I	n90;29
107.64260412635909	S	n124;41;n135;46;n136;47
108.22574960153462	E	n136;47
108.88168409907468	S	n133;44;n137;48;n138;49
109.62261535345976	E	n135;46
109.66620961364337	I	n105;34
109.97257981492466	S	n105;34;n139;50;n140;51
111.11982330004851	S	n90;29;n141;52;n142;53
112.14930348557543	S	n138;49;n143;54;n144;55
113.05043982879775	S	n141;52;n147;56;n148;57
113.65517979759079	S	n126;43;n151;58;n152;59
113.69522551275313	E	n134;45
113.88653947876585	S	n144;55;n153;60;n154;61
114.15329671152638	S	n154;61;n155;62;n156;63
114.51709503904722	S	n156;63;n157;64;n158;65
115.24536255450909	S	n155;62;n165;66;n166;67
115.47908741396041	S	n158;65;n167;68;n168;69
115.53171231760001	E	n166;67
115.59140676077115	S	n121;38;n171;70;n172;71
116.84276849014047	E	n139;50
118.87864221454024	E	n157;64
119.15759873212343	E	n167;68
119.2824603171159	S	n171;70;n175;72;n176;73
120.73658318917201	S	n147;56;n177;74;n178;75
121.67166523555763	S	n172;71;n181;76;n182;77
121.75663925884848	S	n153;60;n185;78;n186;79
121.94033774569849	S	n177;74;n187;80;n188;81
122.33159201510603	S	n181;76;n189;82;n190;83
122.96089664221213	S	n187;80;n191;84;n192;85
122.96539378764307	E	n137;48
123.81931590894636	E	n140;51
124.27853235276899	S	n189;82;n195;86;n196;87
124.33235820708076	I	n176;73
124.35633750190762	S	n143;54;n197;88;n198;89
124.61527864565592	S	n176;73;n199;90;n200;91
124.71440464188629	E	n182;77
125.50474589733585	E	n199;90
125.61616605856788	S	n197;88;n203;92;n204;93
126.02587607460606	S	n192;85;n207;94;n208;95
128.0705698243647	S	n207;94;n213;96;n214;97
128.2107180857034	I	n152;59
128.73131702604869	E	n151;58
128.9487030702779	I	n213;96
129.26832954659912	S	n188;81;n215;98;n216;99
129.9551407662016	S	n190;83;n219;100;n220;101
129.97651367823465	S	n142;53;n221;102;n222;103
130.09222203709768	S	n213;96;n223;104;n224;105
130.15055173964421	E	n200;91
130.3478450618157	S	n224;105;n225;106;n226;107
130.6432955054352	I	n226;107
130.79527631442593	E	n222;103
131.05102661768325	S	n220;101;n227;108;n228;109
131.11070081786738	E	n191;84
131.12736847383428	E	n178;75
131.58558979265632	S	n228;109;n231;110;n232;111
131.59642289544732	S	n215;98;n233;112;n234;113
131.6949341581903	I	n186;79
132.25890650819693	E	n223;104
132.3401028583617	S	n233;112;n235;114;n236;115
132.75998679969956	S	n236;115;n241;116;n242;117
132.7640778217318	I	n152;59
132.97487296848038	E	n186;79
133.2920000968473	S	n232;111;n243;118;n244;119
133.68463181083166	S	n225;106;n245;120;n246;121
133.7496404730826	S	n219;100;n247;122;n248;123
133.91447215626627	L	n248;123
133.9195906530183	E	n214;97
133.98837576070537	E	n152;59
134.01809809279308	E	n226;107
134.4393152643855	S	n244;119;n253;124;n254;125
135.26511937963505	E	n245;120
135.4497466630004	I	n246;121
135.55934214570183	E	n227;108
135.58811979234557	S	n165;66;n259;126;n260;127
135.72829461091368	S	n253;124;n261;128;n262;129
135.85282357483234	E	n198;89
135.88814117835528	I	n262;129
136.18078583605833	E	n175;72
136.5068312732184	E	n260;127
136.6149183386578	I	n261;128
136.9410702486098	S	n203;92;n273;130;n274;131
137.13164605031997	E	n234;113
137.4223546632881	I	n195;86
137.44428209975396	F	n247;122
137.44428209975396	F	n168;69
137.44428209975396	F	n243;118
137.44428209975396	F	n274;131
137.44428209975396	F	n242;117
137.44428209975396	F	n235;114
137.44428209975396	F	n216;99
137.44428209975396	F	n195;86
137.44428209975396	F	n204;93
137.44428209975396	F	n208;95
137.44428209975396	F	n221;102
137.44428209975396	F	n259;126
137.44428209975396	F	n254;125
137.44428209975396	F	n261;128
137.44428209975396	F	n262;129
137.44428209975396	F	n273;130
137.44428209975396	F	n196;87
137.44428209975396	F	n241;116
137.44428209975396	F	n231;110
137.44428209975396	F	n185;78
137.44428209975396	F	n148;57
137.44428209975396	F	n246;121
