TIME	EVENT	NODES
0	O	Root
0.0	S	Root;1;n1;2;n2;3
3.2265121368497676	S	n2;3;n3;4;n4;5
6.0891450189117755	S	n4;5;n5;6;n6;7
12.049627919615546	E	n1;2
17.054465073608707	I	n3;4
18.348764523768374	I	n5;6
30.337553612540763	S	n3;4;n7;8;n8;9
33.85883765321248	I	n8;9
41.7308661144652	E	n6;7
46.478728420132114	S	n8;9;n9;10;n10;11
49.85536983932529	I	n9;10
61.518139248462646	I	n9;10
64.77491969952465	I	n9;10
65.79458869924449	S	n5;6;n11;12;n12;13
75.61487321859023	L	n9;10
76.83040379162496	S	n10;11;n13;14;n14;15
78.67196232775571	E	n11;12
80.59920766624008	E	n12;13
80.65664055191147	S	n14;15;n15;16;n16;17
90.03849608767848	E	n15;16
90.74528338734476	E	n16;17
100.0082568610545	S	n13;14;n17;18;n18;19
100.83303770430318	C	n18;19
111.66586617081315	S	n18;19;n21;20;n22;21
112.01465113909292	I	n17;18
112.21666066081396	L	n22;21
115.05972022798262	I	n21;20
126.00064969512509	I	n17;18
127.09439606284033	S	n17;18;n23;22;n24;23
127.97908681738821	L	n7;8
131.05163357451565	E	n21;20
145.23263585265406	I	n24;23
149.39475367441594	I	n23;22
151.41608628417967	S	n24;23;n31;24;n32;25
165.1799971652594	S	n31;24;n39;26;n40;27
165.93324115960428	L	n32;25
165.93324115960428	T	n39;26;n39;28;n32;29
166.42281919880233	S	n40;27;n41;30;n42;31
169.09281682708968	E	n41;30
169.40844172015872	E	n39;28
169.89696563378288	T	n23;22;n23;32;n29;33
171.45748821204532	S	n23;32;n49;34;n50;35
173.3420775141136	S	n42;31;n53;36;n54;37
173.88687652149895	E	n54;37
176.11005676811268	S	n49;34;n55;38;n56;39
180.66507422169656	I	n29;33
180.68423174771254	E	n50;35
187.8961044217964	I	n55;38
187.90813026639103	I	n56;39
188.2200257567884	I	n29;33
188.99377288291518	S	n56;39;n61;40;n62;41
191.35598736312272	S	n62;41;n65;42;n66;43
193.54890914381417	S	n32;29;n67;44;n68;45
196.74632570764513	E	n66;43
198.4579808392204	I	n29;33
202.5536794830247	I	n55;38
208.10400822300682	S	n67;44;n75;46;n76;47
211.6666750898376	S	n76;47;n79;48;n80;49
212.14935991177535	E	n65;42
213.32577331513028	S	n79;48;n83;50;n84;51
216.13960961975377	C	n80;49
216.27781290793985	E	n83;50
217.52183169942688	I	n68;45
219.75865799309125	I	n68;45
221.26101687798646	C	n61;40
221.4844260935815	S	n61;40;n89;52;n90;53
224.34369207996875	S	n29;33;n91;54;n92;55
226.86452868796613	S	n53;36;n95;56;n96;57
227.54637249049256	E	n91;54
227.74447505539555	S	n68;45;n99;58;n100;59
227.79180205667913	E	n99;58
228.43132801122	L	n84;51
229.84074322147535	S	n75;46;n103;60;n104;61
231.2895298785254	E	n89;52
233.55443944646427	S	n96;57;n105;62;n106;63
234.55165343209367	L	n92;55
237.46246947385566	I	n100;59
238.066136604651	E	n55;38
239.01003706129444	S	n80;49;n109;64;n110;65
240.4400248471713	S	n104;61;n111;66;n112;67
240.6015620950032	S	n100;59;n113;68;n114;69
242.8941750001684	S	n103;60;n115;70;n116;71
244.65686309263035	S	n115;70;n117;72;n118;73
245.60380920404123	E	n118;73
246.41896245296667	S	n116;71;n119;74;n120;75
247.89276809742267	S	n106;63;n121;76;n122;77
251.3186136772485	S	n120;75;n129;78;n130;79
251.9600984783782	E	n129;78
253.21855422173078	I	n95;56
254.1474396940903	S	n111;66;n135;80;n136;81
254.58361057123062	T	n122;77;n122;82;n123;83
254.59397657947247	S	n123;83;n139;84;n140;85
254.6017951755659	S	n119;74;n141;86;n142;87
255.08922900163986	E	n139;84
255.76131034529357	I	n122;82
256.22439948396163	L	n136;81
256.22439948396163	T	n90;53;n90;88;n136;89
259.19362679088636	S	n130;79;n151;90;n152;91
259.23944721612725	I	n140;85
259.28999588796853	S	n141;86;n153;92;n154;93
260.0079447944091	E	n114;69
260.46706076447066	I	n113;68
261.5455228136473	E	n152;91
261.6291738439399	E	n121;76
262.7138522087687	I	n136;89
263.33913961500696	I	n105;62
266.1400532075929	E	n151;90
267.40743961506746	I	n105;62
267.6230845290778	E	n154;93
269.9568136455443	E	n136;89
270.6336862936536	I	n90;88
270.8713022649682	I	n105;62
271.5541373875477	S	n95;56;n167;94;n168;95
271.5695817841202	I	n105;62
271.7170818175748	I	n90;88
273.5864034493894	E	n122;82
275.3394929136777	E	n140;85
276.06674945851347	E	n113;68
277.90526706903614	C	n112;67
278.37777927242377	S	n168;95;n179;96;n180;97
278.4525291252385	E	n112;67
278.6214938342557	E	n167;94
278.8778393829385	E	n117;72
280.88338111280893	E	n90;88
282.56958360049487	E	n179;96
287.2898658895813	E	n105;62
287.5951517002605	S	n110;65;n187;98;n188;99
292.321064504694	E	n180;97
293.1267483817216	S	n188;99;n199;100;n200;101
293.90973519565694	S	n199;100;n203;102;n204;103
294.07914662793326	E	n200;101
294.27007287477545	S	n153;92;n205;104;n206;105
297.944722411288	S	n135;80;n213;106;n214;107
298.1283204238227	S	n206;105;n215;108;n216;109
298.731771698961	I	n205;104
299.1473251872138	E	n214;107
300.4958609584475	I	n205;104
301.0310974275402	I	n216;109
301.7496501463424	E	n216;109
305.3065589137974	S	n213;106;n225;110;n226;111
305.8053411110323	S	n204;103;n227;112;n228;113
308.87520082973424	I	n226;111
312.1421772672062	E	n142;87
314.0104779853529	S	n227;112;n237;114;n238;115
315.342886568578	E	n109;64
315.80174620069414	I	n238;115
318.6575202441293	I	n203;102
318.9566040063278	S	n203;102;n241;116;n242;117
323.8506974373307	I	n225;110
324.2601856628277	E	n226;111
324.7848548775896	E	n225;110
333.4126196802527	I	n242;117
335.6967060113735	S	n241;116;n261;118;n262;119
338.4065941512178	I	n187;98
339.96246034945096	S	n237;114;n273;120;n274;121
340.53914929826317	I	n274;121
341.5385477573434	S	n215;108;n277;122;n278;123
342.3523845263514	S	n228;113;n281;124;n282;125
343.49127319750636	I	n274;121
347.69967403529307	I	n274;121
350.53960376877336	S	n262;119;n293;126;n294;127
351.02482024613164	C	n238;115
351.59011702218135	C	n273;120
353.6543878143171	I	n238;115
354.88791389680375	I	n293;126
355.7899662740194	E	n274;121
356.3119546325315	E	n187;98
358.3633397875162	I	n205;104
359.16454116420584	E	n261;118
361.2079152499846	C	n293;126
363.7179365725955	E	n277;122
363.72092949357767	S	n205;104;n313;128;n314;129
365.43190125744275	S	n273;120;n325;130;n326;131
366.1916889748353	I	n293;126
368.33285918754166	F	n293;126
368.33285918754166	F	n242;117
368.33285918754166	F	n282;125
368.33285918754166	F	n325;130
368.33285918754166	F	n281;124
368.33285918754166	F	n326;131
368.33285918754166	F	n314;129
368.33285918754166	F	n294;127
368.33285918754166	F	n238;115
368.33285918754166	F	n313;128
368.33285918754166	F	n278;123
