TIME	EVENT	NODES
66.84904250820344	O	n9
102.88084729327288	S	n9;1;n19;2;n20;3
148.9849759202454	S	n20;3;n27;4;n28;5
153.03811780565275	I	n19;2
153.15396712937255	S	n28;5;n35;6;n36;7
160.7589202325163	I	n19;2
163.1291166156951	I	n19;2
166.54278869017284	E	n27;4
168.98360319176706	S	n36;7;n43;8;n44;9
170.74431018111153	S	n43;8;n45;10;n46;11
171.2809686135886	S	n19;2;n47;12;n48;13
172.7134354678535	S	n35;6;n51;14;n52;15
174.31300515140396	I	n45;10
177.51846234063663	E	n45;10
181.29178913424275	T	n51;14;n51;16;n55;17
184.38473418243225	S	n51;16;n57;18;n58;19
186.8621502089486	I	n52;15
187.68489901940544	E	n46;11
189.1347485239861	L	n48;13
189.4429084824666	S	n44;9;n63;20;n64;21
192.88604860011444	I	n64;21
195.81562732113593	E	n58;19
196.97511416203977	S	n47;12;n69;22;n70;23
199.3404950915714	E	n57;18
202.04678109885788	I	n63;20
205.25455400940166	S	n69;22;n73;24;n74;25
208.19839410567633	S	n74;25;n77;26;n78;27
210.66533930377224	D	n78;27;n78;28;n78;29
212.0814811151844	S	n73;24;n81;30;n82;31
213.33520430170393	I	n52;15
215.19426714998926	S	n82;31;n85;32;n86;33
216.84950302544078	I	n78;28
216.84950302544078	I	n78;29
217.10122037003637	S	n63;20;n87;34;n88;35
217.44871126990802	I	n86;33
217.9725170918693	L	n87;34
219.24898637001473	I	n64;21
224.01115539674345	E	n81;30
226.08451416191318	E	n77;26
226.3022639445042	E	n78;29
226.3022639445042	E	n78;28
226.76304026258958	I	n64;21
227.7086322008703	S	n52;15;n97;36;n98;37
229.79413206743286	S	n85;32;n101;38;n102;39
230.22500167846212	E	n101;38
231.71293406001115	I	n64;21
232.09505500922094	I	n97;36
232.8439288366906	E	n88;35
233.29582354140385	C	n102;39
237.40170014493938	I	n98;37
238.066136604651	E	n55;17
239.13941294242915	D	n97;36;n97;40;n97;41
240.3331960884654	I	n97;40
240.3331960884654	I	n97;41
241.3114598208979	C	n97;41
241.3114598208979	C	n97;40
245.85340359938476	E	n86;33
248.88117897606477	E	n64;21
249.03530572249304	S	n97;41;n123;42;n124;43
249.03530572249304	S	n97;40;n123;44;n124;45
253.10530453682208	S	n102;39;n133;46;n134;47
254.59397657947247	S	n123;42;n139;48;n140;49
254.59397657947247	S	n123;44;n139;50;n140;51
254.85733682858677	S	n134;47;n143;52;n144;53
255.08922900163986	E	n139;48
255.08922900163986	E	n139;50
256.11814760668034	L	n133;46
256.74972332501403	S	n70;23;n145;54;n146;55
258.8150958922131	S	n124;43;n149;56;n150;57
258.8150958922131	S	n124;45;n149;58;n150;59
260.46930195430207	L	n150;59
262.03654524927583	T	n150;57;n150;60;n122;61
265.87155300597504	C	n144;53
270.5252696666065	L	n145;54
270.5252696666065	T	n146;55;n146;62;n145;63
272.7686652476631	I	n144;53
273.5864034493894	E	n122;61
274.68520477779253	E	n143;52
275.0960935428681	S	n146;62;n169;64;n170;65
275.3394929136777	E	n140;49
275.3394929136777	E	n140;51
275.6592212750307	I	n144;53
275.8505257194636	S	n145;63;n173;66;n174;67
276.551795131478	S	n144;53;n175;68;n176;69
276.778106847264	S	n169;64;n177;70;n178;71
279.60758996450124	I	n177;70
283.5119966849684	I	n173;66
285.76396366295205	E	n176;69
288.08459698445915	T	n174;67;n174;72;n187;73
289.08385499798777	I	n178;71
289.7660671719976	S	n177;70;n191;74;n192;75
292.56408620681617	S	n191;74;n197;76;n198;77
293.4401227103343	E	n150;60
294.9637629184056	L	n149;56
295.3017646490898	I	n175;68
295.7101501024865	E	n178;71
296.2171724220751	C	n149;58
296.4430408222861	E	n175;68
296.6492360233857	C	n198;77
297.82959460464184	E	n98;37
297.88510067996623	E	n197;76
298.04106042265215	I	n149;58
298.50186347928354	I	n174;72
309.21205838172443	S	n198;77;n231;78;n232;79
311.16432193123956	I	n192;75
313.2735372024965	E	n149;58
314.5087251124538	E	n173;66
316.27600896896894	E	n192;75
316.64521563171144	E	n174;72
317.30612004847615	S	n232;79;n239;80;n240;81
331.30583200460484	T	n239;80;n239;82;n254;83
335.14844581859495	S	n231;78;n259;84;n260;85
335.92113620132585	S	n254;83;n263;86;n264;87
337.8461826410679	C	n240;81
339.658731161582	S	n264;87;n271;88;n272;89
339.93593842694605	I	n187;73
340.1364436944464	I	n263;86
342.14203121606096	I	n187;73
346.1320591331966	I	n239;82
347.48072499828623	I	n240;81
348.6720819320871	E	n240;81
348.7564267084988	E	n259;84
354.1243629477875	I	n170;65
356.3119546325315	E	n187;73
361.7971077523211	S	n272;89;n309;90;n310;91
363.16062832909114	I	n170;65
364.303448074514	I	n239;82
364.39265661618424	S	n310;91;n317;92;n318;93
365.0417268907298	E	n263;86
365.3354294195512	E	n260;85
365.6675909654996	S	n239;82;n327;94;n328;95
365.9406802548836	S	n318;93;n329;96;n330;97
368.33285918754166	F	n330;97
368.33285918754166	F	n329;96
368.33285918754166	F	n271;88
368.33285918754166	F	n327;94
368.33285918754166	F	n328;95
368.33285918754166	F	n170;65
368.33285918754166	F	n317;92
368.33285918754166	F	n309;90
