POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	204
1	2	+	204
2	3	+	204
3	4	+	204
4	5	-	204
5	6	+	204
6	7	+	204
7	8	-	204
8	9	+	206
9	10	+	204
10	11	-	204
11	12	+	204
12	13	+	204
13	14	-	202
14	15	+	204
15	16	-	204
16	17	-	204
17	18	+	204
18	19	-	156
19	20	-	204
20	21	+	204
21	22	+	204
22	23	+	204
23	24	-	204
24	25	+	204
25	26	-	204
26	27	+	204
27	28	+	200
28	29	-	204
29	30	+	204
30	31	+	204
31	32	+	204
32	33	+	204
33	34	+	204
34	35	+	204
35	1074	+	6
36	36	-	204
37	37	-	204
38	38	-	190
39	39	+	204
40	40	+	204
41	41	-	204
42	1099	-	4
43	43	-	204
44	44	+	204
45	45	+	204
46	46	-	204
47	48	+	202
48	49	+	204
49	50	+	204
50	51	-	204
51	52	-	204
52	53	-	206
53	54	+	204
54	55	-	208
55	56	+	184
56	57	+	184
57	58	-	204
58	59	+	186
59	60	-	182
60	61	+	200
61	62	+	198
62	63	+	204
63	64	-	202
64	65	+	204
65	66	+	204
66	67	+	204
67	68	-	204
68	69	+	228
69	70	-	204
70	71	+	204
71	72	-	204
72	73	+	204
73	74	+	204
74	75	-	204
75	76	-	204
76	1014	-	86
77	77	+	202
78	78	-	204
79	79	+	204
80	80	+	204
81	1096	+	4
82	81	+	180
83	82	+	202
84	82	+	204
85	83	+	180
86	84	-	204
87	85	-	204
88	86	+	194
89	895	-	202
90	896	-	204
91	87	-	204
92	88	+	204
93	89	-	204
94	90	-	204
95	91	+	206
96	92	-	204
97	94	+	204
98	95	-	204
99	96	-	204
100	97	+	204
101	98	-	204
102	99	+	202
103	100	-	204
104	101	-	204
105	102	+	204
106	103	-	204
107	104	+	204
108	105	-	204
109	106	-	198
110	107	+	198
111	108	-	204
112	109	-	204
113	110	-	204
114	1045	+	28
115	111	+	204
116	112	-	204
117	113	-	194
118	114	-	206
119	115	-	206
120	116	-	204
121	117	-	204
122	1018	+	86
123	119	+	204
124	120	-	204
125	121	+	204
126	122	+	204
127	123	-	204
128	124	-	204
129	125	-	204
130	126	+	204
131	127	-	204
132	128	-	204
133	129	-	204
134	130	-	204
135	131	-	204
136	132	-	204
137	133	+	204
138	134	+	204
139	135	-	204
140	136	-	204
141	137	+	204
142	138	-	204
143	139	-	204
144	140	+	204
145	141	+	204
146	142	-	204
147	143	-	204
148	144	+	204
149	145	+	204
150	146	-	202
151	147	-	204
152	148	+	204
153	149	-	204
154	150	+	208
155	151	-	204
156	152	-	204
157	153	+	204
158	154	-	206
159	155	-	206
160	156	-	204
161	157	-	204
162	158	-	204
163	159	-	204
164	160	+	204
165	161	+	204
166	162	-	204
167	163	-	190
168	164	-	204
169	876	+	204
170	165	-	204
171	166	+	204
172	167	-	204
173	168	-	204
174	169	-	204
175	170	-	204
176	171	-	204
177	172	+	204
178	173	+	204
179	174	+	214
180	175	-	204
181	176	+	204
182	177	+	204
183	178	-	204
184	179	+	204
185	180	+	204
186	181	+	204
187	182	-	204
188	183	-	204
189	184	-	204
190	185	+	204
191	186	+	216
192	187	-	204
193	188	-	204
194	189	-	204
195	190	+	180
196	191	-	206
197	192	+	204
198	193	+	204
199	194	-	204
200	195	+	204
201	196	-	204
202	197	-	202
203	198	-	204
204	199	-	204
205	200	-	204
206	201	+	204
207	202	-	228
208	203	+	204
209	204	+	198
210	205	-	198
211	206	+	180
212	209	-	204
213	210	+	204
214	211	+	204
215	212	-	202
216	213	-	204
217	214	+	204
218	215	+	204
219	216	-	204
220	217	+	208
221	217	+	210
222	218	-	198
223	219	+	204
224	220	-	204
225	223	+	204
226	224	-	206
227	225	+	204
228	226	-	204
229	227	-	204
230	228	-	204
231	229	-	202
232	230	-	198
233	231	-	218
234	232	-	204
235	233	-	194
236	234	+	204
237	235	+	200
238	236	-	206
239	237	-	218
240	238	-	204
241	239	-	204
242	240	-	204
243	241	-	204
244	242	+	204
245	243	+	204
246	244	-	204
247	245	+	202
248	246	+	202
249	247	+	232
250	248	+	204
251	249	+	204
252	250	-	204
253	251	-	204
