n112	n107;n88;n49;n32
n201	n153;n149;n103;n89;n79;n64;n48
n283	n269
n236	n186
n244	n209;n189;n151;n137;n113;n91;n37;n36;n30;n25;n20
n255	n239
n282	n279
n251	n240
n200	n157;n117
n260	n221;n197;n187;n183;n180;n161;n125
n21	n16;n13;n10;n3
n234	n217;n196;n156;n124;n67;n43;n19
n159	n133;n129;n118
n17	n7;n5;n4
n245	n166;n132;n126
n122	n116;n109;n106;n83;n76;n47
n257	n241
n262	n253;n231;n219
