POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
388	349	+	73
389	348	-	79
390	750	+	79
391	751	-	79
392	753	-	77
393	346	-	101
394	345	+	77
395	344	-	55
396	360	+	77
397	361	-	55
398	362	-	77
399	363	-	77
400	1673	+	9
401	1093	+	41
402	605	+	69
403	606	-	81
404	607	+	81
405	609	+	83
406	1033	-	71
407	364	+	79
408	365	+	77
409	366	+	77
410	1961	+	1
411	367	-	41
412	368	+	77
413	369	+	79
414	370	+	85
415	373	-	77
416	176	-	75
417	1327	+	31
418	372	+	79
419	381	+	77
420	371	+	81
421	374	+	81
422	375	+	81
423	376	-	77
424	378	+	75
425	379	-	79
426	380	+	75
427	1201	-	41
428	382	+	79
429	384	+	81
430	385	+	81
431	386	-	79
432	1115	-	39
433	387	-	83
434	388	+	79
435	1073	-	45
436	389	+	67
437	1326	+	31
438	395	-	77
439	397	+	75
440	396	-	75
441	399	+	77
442	400	-	87
443	1394	-	35
444	426	+	85
445	427	-	67
446	428	+	79
447	429	+	79
448	431	-	83
449	432	+	81
450	461	-	79
451	460	-	83
452	459	-	71
453	458	+	81
454	457	+	73
455	456	-	77
456	455	+	107
457	455	+	109
458	407	+	77
459	443	+	71
460	445	-	77
461	447	-	57
462	448	-	77
463	449	-	79
464	450	+	81
465	451	-	81
466	453	+	79
467	454	+	79
468	408	+	79
469	409	-	65
470	412	+	79
471	413	-	77
472	414	+	61
473	416	-	79
474	417	+	73
475	1486	-	21
476	421	+	77
477	422	+	79
478	167	-	79
479	166	-	83
480	164	-	59
481	161	-	77
482	424	+	77
483	425	-	79
484	435	+	91
485	434	+	67
486	510	+	79
487	508	+	81
488	507	+	105
489	483	+	103
490	483	+	105
491	484	-	77
492	498	+	81
493	499	+	77
494	500	+	85
495	1467	-	23
496	501	+	75
497	502	-	57
498	503	-	75
499	504	-	79
500	505	-	79
501	506	-	85
502	507	-	107
503	1419	-	31
504	473	-	85
505	474	-	77
506	1498	-	21
507	847	+	81
508	846	+	73
509	475	-	81
510	477	+	77
511	478	+	77
512	479	+	86
513	1766	+	9
514	480	-	81
515	481	-	69
516	482	+	77
517	469	-	81
518	467	+	79
519	466	+	91
520	2015	+	1
521	466	+	93
522	465	+	79
523	464	-	85
524	463	-	77
525	1385	+	31
526	462	-	79
527	1608	+	9
528	433	+	77
529	511	+	79
530	222	-	51
531	514	-	115
532	515	-	79
533	516	-	77
534	518	+	81
535	519	-	87
536	520	-	79
537	948	-	73
538	1647	-	9
539	947	+	77
540	849	+	77
541	851	+	77
542	410	+	79
543	946	+	97
544	524	+	81
545	526	+	85
546	527	-	77
547	528	+	79
548	529	-	75
549	530	-	81
550	532	+	81
551	778	+	77
552	779	-	79
553	1282	+	29
554	1029	-	73
555	535	+	79
556	536	-	73
557	538	+	77
558	539	-	97
559	540	-	77
560	541	-	81
561	542	+	81
562	561	-	69
563	560	+	81
564	1338	-	13
565	559	-	83
566	558	+	81
567	557	+	79
568	1055	+	43
569	548	+	77
570	549	-	77
571	550	-	79
572	1458	+	24
573	1458	+	25
574	553	+	77
575	1013	-	83
576	1013	-	85
577	554	+	87
578	555	+	81
579	1438	+	25
580	547	-	79
581	546	-	77
582	1028	+	73
583	563	+	79
584	543	-	81
585	544	+	71
586	1441	+	25
587	545	-	83
588	565	+	77
589	173	+	81
590	175	-	73
591	177	+	85
592	179	+	77
593	566	+	77
594	1018	+	77
595	577	-	77
596	581	-	81
597	578	+	73
598	579	+	83
599	580	+	57
600	1003	+	77
601	1617	-	9
602	1633	-	9
603	597	-	71
604	570	+	77
605	569	+	79
606	568	-	77
607	567	-	79
608	575	+	79
609	574	-	71
610	573	-	83
611	1110	+	43
612	572	-	101
613	644	+	77
614	582	+	85
615	583	-	83
616	631	+	75
617	630	-	83
618	629	+	81
619	628	-	79
620	659	-	61
621	660	+	83
622	661	-	77
623	664	+	79
624	665	-	87
625	1153	+	43
626	667	-	82
627	669	-	83
628	1634	+	9
629	871	+	107
630	1204	-	41
631	872	+	79
632	873	+	77
633	670	+	73
634	671	+	83
635	672	-	79
636	674	+	81
637	675	+	117
638	675	+	119
639	677	+	81
640	632	-	81
641	633	-	77
642	1422	-	25
643	634	-	105
644	636	-	113
645	1364	+	31
646	638	-	79
647	640	+	75
648	641	-	75
649	599	-	79
650	601	+	83
651	1220	-	47
652	602	-	69
653	603	+	79
654	604	-	77
655	1480	-	21
656	610	-	85
657	611	+	87
658	611	+	89
659	612	-	81
660	613	+	77
661	614	+	75
662	621	+	77
663	620	-	75
664	619	+	65
665	618	-	71
666	617	+	75
667	1138	+	51
668	1138	+	53
669	616	+	77
670	615	+	79
671	623	+	83
672	624	+	81
673	625	+	83
674	626	+	77
675	627	+	77
676	657	-	81
677	1027	+	61
678	1754	-	9
679	655	-	79
680	654	+	81
681	653	+	73
682	652	-	79
683	593	-	55
684	592	+	89
685	591	-	83
686	590	-	73
687	95	-	79
688	584	-	109
689	679	+	79
690	680	+	81
691	682	+	107
692	1953	-	1
693	683	-	79
694	684	+	77
695	685	+	79
696	686	-	53
697	687	-	81
698	688	+	77
699	556	-	81
700	689	+	69
701	83	+	83
702	84	+	77
703	85	-	83
704	86	+	81
705	87	+	83
706	690	+	79
707	1026	+	75
708	691	-	109
709	691	-	111
710	692	+	81
711	693	-	81
712	696	+	83
713	697	-	79
714	698	-	81
715	699	-	77
716	1112	-	47
717	564	+	79
718	716	-	77
719	714	+	81
720	534	-	81
721	713	+	79
722	712	+	77
723	711	-	83
724	709	-	83
725	709	-	85
726	708	-	79
727	707	-	85
728	219	+	79
729	218	+	83
730	1598	-	9
731	704	+	79
732	703	+	85
733	1999	-	1
734	701	+	79
735	718	+	77
