POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	67
1	2	-	67
2	3	-	67
3	4	-	67
4	5	-	67
5	6	+	67
6	7	-	67
7	8	-	67
8	9	-	67
9	10	-	67
10	11	+	67
11	12	+	67
12	13	+	67
13	14	-	67
14	15	-	67
15	16	-	67
16	17	+	67
17	18	-	67
18	19	-	67
19	20	+	67
20	21	+	65
21	22	-	67
22	23	+	67
23	24	+	67
24	25	+	67
25	26	-	67
26	27	-	67
27	28	-	67
28	29	+	67
29	30	-	67
30	31	-	67
31	32	+	67
32	33	+	67
33	34	+	67
34	35	+	67
35	36	-	67
36	37	-	67
37	38	+	67
38	39	-	67
39	40	+	67
40	41	-	67
41	42	+	67
42	43	-	67
43	44	-	67
44	45	+	67
45	46	-	67
46	47	+	67
47	48	-	67
48	49	+	67
49	50	+	67
50	51	+	67
51	52	+	67
52	53	-	67
53	54	+	67
54	55	+	67
55	56	-	67
56	57	+	67
57	58	-	69
58	59	-	67
59	60	-	67
60	61	+	67
61	62	+	67
62	63	+	67
63	64	-	67
64	65	-	67
65	66	+	59
66	67	+	67
67	68	-	67
68	69	+	67
69	70	-	67
70	71	+	67
71	72	+	65
72	73	+	67
73	74	+	67
74	75	+	67
75	76	+	67
76	77	+	67
77	78	-	67
78	79	+	67
79	80	+	67
80	81	+	67
81	82	-	67
82	83	+	69
83	84	-	69
84	85	-	69
85	86	-	69
86	87	+	67
87	88	-	67
88	89	+	67
89	90	-	67
90	91	+	67
91	92	-	67
92	93	-	67
93	94	-	67
94	95	-	63
95	96	-	67
96	97	-	67
97	98	-	67
98	99	+	67
99	100	-	67
100	101	+	67
101	102	-	67
102	103	-	67
103	104	+	67
104	105	-	67
105	106	-	67
106	107	-	67
107	108	-	67
108	109	+	67
109	110	-	67
110	111	+	67
111	112	-	67
112	113	-	67
113	114	+	67
114	115	+	67
115	116	-	67
116	117	+	69
117	118	+	67
118	119	-	67
119	120	+	67
120	121	-	67
121	122	+	67
122	124	+	67
123	125	+	67
124	126	-	67
125	127	-	67
126	128	-	67
127	129	+	67
128	130	-	69
129	131	+	69
130	132	-	67
131	133	-	67
132	134	-	67
133	135	-	67
134	136	-	67
135	137	+	67
136	138	-	67
137	139	+	67
138	140	-	67
139	141	+	67
140	142	+	67
141	143	-	67
142	144	+	67
143	145	-	67
144	146	-	67
145	147	+	69
146	148	+	67
147	149	+	67
148	150	+	65
149	151	-	67
150	152	-	67
151	153	+	67
152	154	+	67
153	155	-	67
154	156	-	67
155	157	-	67
156	158	-	67
157	159	-	67
158	160	+	67
159	951	+	67
160	161	+	67
161	162	-	67
162	163	-	67
163	164	+	67
164	165	+	67
165	166	-	67
166	167	+	67
167	168	-	67
168	169	+	67
169	170	-	67
170	171	-	67
171	172	+	67
172	173	-	67
173	174	+	67
174	175	+	67
175	176	+	71
176	177	-	67
177	178	-	67
178	179	+	67
179	180	-	67
180	181	-	67
181	182	+	67
182	183	-	67
183	184	-	67
184	185	+	67
185	186	-	67
186	187	+	67
187	188	-	67
188	189	+	67
189	190	-	67
190	191	+	67
191	192	-	67
192	193	+	67
193	194	+	67
194	195	+	67
195	196	-	67
196	197	-	67
197	198	-	67
198	199	-	69
199	200	+	67
200	201	+	67
201	202	-	67
202	203	-	67
203	204	+	67
204	205	-	67
205	206	-	67
206	207	+	67
207	208	+	67
208	209	-	67
209	210	+	67
210	211	-	67
211	212	-	67
212	213	+	67
213	214	-	67
214	603	+	67
215	604	-	67
216	605	-	67
217	215	+	67
218	216	-	67
219	217	-	67
220	218	+	69
221	219	+	67
222	1001	+	65
223	220	+	67
224	221	+	67
225	222	-	67
226	223	-	67
227	224	-	67
228	225	+	67
229	226	-	67
230	227	-	67
231	228	-	67
232	229	-	67
233	230	+	67
234	231	-	67
235	232	-	67
236	233	-	67
237	234	+	67
238	235	-	67
239	236	+	67
240	237	-	67
241	238	+	67
242	239	-	67
243	240	-	69
244	241	-	67
245	244	+	67
246	245	+	67
247	246	+	67
248	247	+	67
249	248	-	67
250	249	+	67
251	250	+	67
252	251	+	67
253	252	-	67
254	253	+	67
255	254	-	67
256	255	+	67
257	256	+	67
258	257	+	67
259	258	+	67
260	259	+	67
261	260	-	67
262	261	+	67
263	262	+	67
264	263	-	67
265	264	-	67
266	265	+	67
267	266	-	67
268	267	+	67
269	268	-	67
270	269	-	67
271	270	-	67
272	271	-	67
273	272	-	67
274	273	+	67
275	274	-	67
276	275	+	67
277	276	-	67
278	278	+	67
279	277	-	67
280	279	+	67
281	280	-	67
282	281	-	67
283	282	+	67
284	283	-	67
285	284	-	53
286	285	-	53
287	286	+	69
288	287	-	69
289	288	+	67
290	289	+	67
291	290	-	67
292	291	+	67
293	292	+	67
294	294	+	67
295	296	-	67
296	297	-	41
297	298	-	67
298	299	+	67
299	300	+	73
300	301	+	73
301	302	+	67
302	303	-	57
303	304	-	57
304	305	+	57
305	306	+	57
306	307	-	57
307	308	-	57
308	309	+	57
309	310	+	57
310	311	+	57
311	312	-	57
312	313	-	57
313	314	-	57
314	315	+	67
315	316	-	67
316	317	+	67
317	318	+	67
318	319	+	67
319	320	+	67
320	321	-	67
321	322	+	67
322	323	-	67
323	324	+	65
324	325	+	65
325	326	-	67
326	327	+	67
327	328	-	67
328	329	-	67
329	330	+	67
330	331	-	67
331	332	-	67
332	333	-	67
333	334	+	67
334	335	-	69
335	336	-	67
336	337	-	67
337	338	+	67
338	339	+	67
339	340	-	67
340	341	+	67
341	342	-	67
342	344	+	67
343	345	-	67
344	346	+	67
345	347	-	67
346	348	-	67
347	349	+	67
348	350	+	67
349	351	+	67
350	352	+	67
351	415	-	69
352	416	+	69
353	353	+	67
354	354	+	67
355	355	+	67
356	356	+	67
357	357	+	67
358	358	-	67
359	360	+	67
360	361	-	67
361	362	+	67
362	365	+	67
363	366	+	67
364	367	-	67
365	368	+	43
366	369	+	67
367	370	+	67
368	371	-	67
369	372	+	67
370	373	-	67
371	374	+	67
372	375	+	67
373	376	+	67
374	377	-	67
375	378	+	67
376	379	+	67
377	380	-	67
378	381	-	67
379	382	-	67
380	383	-	67
381	384	-	67
382	385	-	67
383	386	-	67
384	387	+	67
385	388	-	67
386	389	+	67
387	390	-	67
388	391	+	67
389	392	-	67
390	393	-	67
391	394	+	69
392	395	-	67
393	396	+	67
394	397	-	67
395	398	+	67
396	399	+	67
397	400	-	67
398	401	-	67
399	402	-	67
400	403	+	67
401	404	+	67
402	405	+	67
403	406	+	67
404	407	-	67
405	408	-	67
406	409	-	67
407	410	+	67
408	411	-	67
409	412	-	67
410	413	-	67
411	414	+	67
412	417	-	69
413	418	+	67
414	419	+	67
415	420	-	67
416	421	+	67
417	422	+	67
418	423	+	67
419	424	-	67
420	425	+	69
421	426	+	67
422	427	-	67
423	428	+	67
424	429	+	67
425	430	+	67
426	431	+	67
427	432	+	67
428	433	+	67
429	434	-	67
430	435	+	67
431	436	+	67
432	437	-	67
433	438	-	67
434	439	-	67
435	440	+	65
436	441	+	51
437	442	+	65
438	443	-	67
439	444	-	67
440	445	+	67
441	446	+	67
442	447	-	57
443	448	-	67
444	449	-	67
445	450	+	67
446	451	+	67
447	452	-	67
448	453	-	67
449	454	-	67
450	455	-	67
451	456	+	67
452	457	+	67
453	458	-	67
454	459	+	67
455	460	+	67
456	461	+	67
457	462	-	67
458	463	+	67
459	464	-	67
460	465	-	67
461	467	+	67
462	468	-	67
463	469	-	67
464	470	+	67
465	471	-	67
466	472	+	67
467	473	-	67
468	474	+	67
469	475	+	67
470	476	-	67
471	477	-	67
472	478	+	69
473	479	-	67
474	480	+	67
475	481	+	67
476	482	+	69
477	483	+	67
478	484	-	67
479	485	-	67
480	486	-	67
481	487	+	67
482	488	-	67
483	489	-	67
484	490	+	67
485	491	-	67
486	492	+	67
487	493	+	67
488	494	-	67
489	495	-	67
490	496	+	67
491	497	+	67
492	498	-	67
493	499	-	67
494	500	-	67
495	501	-	67
496	503	+	67
497	504	+	67
498	505	-	67
499	506	-	67
500	507	-	67
501	508	-	67
502	509	-	67
503	510	-	69
504	511	+	73
505	512	+	67
506	513	-	67
507	514	+	61
508	515	-	61
509	516	+	67
510	517	+	67
511	518	-	67
