POSITION	GENE_FAMILY	ORIENTATION	GENE_ID
0	1	-	99
1	2	-	99
2	4	-	99
3	6	+	99
4	7	-	99
5	8	-	99
6	9	-	99
7	10	-	99
8	11	+	99
9	12	+	99
10	13	+	99
11	14	-	99
12	15	-	99
13	16	-	99
14	17	+	99
15	18	-	99
16	19	-	99
17	20	+	99
18	21	+	95
19	22	-	99
20	23	+	99
21	24	+	99
22	25	+	99
23	26	-	99
24	27	-	99
25	28	-	99
26	29	+	99
27	30	-	99
28	31	-	99
29	32	+	99
30	33	+	99
31	34	+	99
32	35	+	99
33	36	-	99
34	37	-	99
35	603	+	99
36	604	-	99
37	38	+	99
38	39	-	97
39	40	+	97
40	41	-	99
41	42	+	99
42	43	-	99
43	44	-	99
44	45	+	99
45	46	-	99
46	47	+	99
47	48	-	99
48	49	+	99
49	1008	+	15
50	50	+	99
51	51	+	99
52	52	+	99
53	53	-	99
54	54	+	99
55	55	+	99
56	56	-	99
57	57	+	99
58	58	-	103
59	59	-	99
60	60	-	99
61	61	+	99
62	62	+	99
63	63	+	99
64	64	-	99
65	65	-	99
66	67	+	101
67	68	-	101
68	69	+	99
69	70	-	99
70	71	+	99
71	72	+	89
72	73	+	99
73	74	+	99
74	75	+	99
75	76	+	99
76	77	+	99
77	78	-	99
78	79	+	101
79	80	+	101
80	1011	-	13
81	81	+	99
82	82	-	99
83	83	+	101
84	86	-	101
85	87	+	97
86	88	-	99
87	89	+	99
88	90	-	99
89	91	+	99
90	92	-	99
91	93	-	99
92	94	-	99
93	95	-	93
94	96	-	99
95	97	-	97
96	98	-	97
97	99	+	99
98	100	-	99
99	101	+	99
100	102	-	99
101	103	-	99
102	104	+	99
103	105	-	99
104	106	-	97
105	107	-	99
106	108	-	99
107	109	+	99
108	110	-	99
109	111	+	103
110	112	-	103
111	113	-	103
112	114	+	103
113	115	+	99
114	116	-	99
115	117	+	101
116	118	+	99
117	119	-	99
118	120	+	99
119	121	-	99
120	122	+	99
121	123	+	63
122	124	+	99
123	125	+	99
124	126	-	99
125	127	-	99
126	128	-	99
127	129	+	99
128	130	-	101
129	131	+	101
130	132	-	99
131	133	-	99
132	134	-	99
133	135	-	99
134	136	-	99
135	137	+	99
136	138	-	99
137	139	+	99
138	140	-	99
139	141	+	99
140	142	+	99
141	143	-	99
142	1060	-	1
143	144	+	99
144	145	-	99
145	146	-	99
146	147	+	103
147	148	+	99
148	149	+	99
149	150	+	95
150	151	-	99
151	152	-	99
152	153	+	99
153	154	+	99
154	155	-	99
155	156	-	99
156	157	-	99
157	158	-	99
158	159	-	99
159	160	+	99
160	161	+	99
161	162	-	99
162	163	-	99
163	164	+	99
164	165	+	99
165	889	-	99
166	890	+	99
167	166	-	99
168	167	+	99
169	168	-	99
170	169	+	99
171	170	-	101
172	171	-	99
173	172	+	99
174	173	-	99
175	174	+	99
176	175	+	99
177	176	+	105
178	177	-	99
179	178	-	101
180	179	+	99
181	180	-	99
182	181	-	99
183	182	+	99
184	183	-	99
185	184	-	99
186	185	+	99
187	186	-	99
188	187	+	99
189	188	-	99
190	189	+	99
191	190	-	99
192	191	+	99
193	192	-	99
194	193	+	99
195	194	+	99
196	195	+	99
197	196	-	99
198	197	-	99
199	198	-	99
200	199	-	101
201	200	+	99
202	201	+	99
203	202	-	99
204	203	-	99
205	204	+	99
206	205	-	99
207	206	-	99
208	207	+	99
209	208	+	99
210	209	-	99
211	210	+	99
212	211	+	99
213	212	-	99
214	213	+	99
215	214	-	99
216	215	+	99
217	216	-	99
218	217	-	99
219	218	+	101
220	219	+	99
221	1001	+	97
222	220	+	99
223	221	+	99
224	222	-	99
225	223	-	99
226	224	-	99
227	225	+	99
228	226	-	99
229	227	-	99
230	228	-	99
231	229	-	99
232	230	+	99
233	231	-	99
234	232	-	99
235	233	-	99
236	234	+	99
237	235	-	99
238	236	+	97
239	237	-	97
240	238	+	99
241	239	-	99
242	240	-	101
243	241	-	99
244	861	+	99
245	242	-	69
246	243	-	69
247	244	+	99
248	245	+	99
249	246	+	99
250	247	+	99
251	248	-	99
252	249	+	99
253	250	+	99
254	251	+	99
255	252	-	99
256	253	+	99
257	254	-	99
258	255	+	99
259	256	+	99
260	257	+	99
261	258	+	99
262	259	+	99
263	260	-	99
264	261	+	99
265	262	+	99
266	263	-	99
267	264	-	99
268	265	+	99
269	266	-	99
270	267	+	99
271	268	-	99
272	269	-	99
273	271	-	99
274	272	-	99
275	273	+	99
276	274	-	99
277	275	+	99
278	276	-	99
279	277	+	99
280	278	-	99
281	279	+	99
282	280	-	99
283	281	-	99
284	282	+	99
285	283	-	99
286	284	-	71
287	285	-	71
288	286	+	101
289	287	-	101
290	288	+	99
291	289	+	99
292	290	-	99
293	291	+	99
294	292	+	99
295	294	+	99
296	295	+	69
297	296	-	99
298	298	-	99
299	301	+	107
300	302	+	99
301	303	-	75
302	304	-	75
303	305	+	75
304	306	+	75
305	307	-	75
306	308	-	75
307	309	+	75
308	310	+	75
309	311	+	75
310	312	-	75
311	313	-	75
312	314	-	75
313	315	+	99
314	316	-	99
315	317	+	99
316	318	+	99
317	319	+	99
318	320	+	99
319	321	-	99
320	322	+	99
321	323	-	99
322	324	+	89
323	325	+	89
324	326	-	99
325	327	+	99
326	328	-	99
327	329	-	99
328	330	+	99
329	331	-	97
330	332	-	97
331	333	-	99
332	334	+	99
333	335	-	105
334	336	-	99
335	337	-	99
336	338	+	99
337	339	+	99
338	340	-	99
339	341	+	99
340	342	-	99
341	343	+	77
342	344	+	97
343	345	-	97
344	346	+	97
345	347	-	97
346	348	-	97
347	349	+	99
348	350	+	99
349	351	+	99
350	352	+	99
351	353	+	99
352	354	+	99
353	355	+	99
354	356	+	99
355	357	+	99
356	358	-	99
